name	type	units	sampling_frequency
Iz	EEG	uV	2500
O2	EEG	uV	2500
Oz	EEG	uV	2500
O1	EEG	uV	2500
PO8	EEG	uV	2500
PO4	EEG	uV	2500
POz	EEG	uV	2500
PO3	EEG	uV	2500
PO7	EEG	uV	2500
P8	EEG	uV	2500
P6	EEG	uV	2500
P4	EEG	uV	2500
P2	EEG	uV	2500
Pz	EEG	uV	2500
P1	EEG	uV	2500
P3	EEG	uV	2500
P5	EEG	uV	2500
P7	EEG	uV	2500
TP10	EEG	uV	2500
TP8	EEG	uV	2500
CP6	EEG	uV	2500
CP4	EEG	uV	2500
CP2	EEG	uV	2500
CPz	EEG	uV	2500
CP1	EEG	uV	2500
CP3	EEG	uV	2500
CP5	EEG	uV	2500
TP7	EEG	uV	2500
TP9	EEG	uV	2500
T8	EEG	uV	2500
C6	EEG	uV	2500
C4	EEG	uV	2500
C2	EEG	uV	2500
Cz	EEG	uV	2500
C1	EEG	uV	2500
C3	EEG	uV	2500
C5	EEG	uV	2500
T7	EEG	uV	2500
FT8	EEG	uV	2500
FC6	EEG	uV	2500
FC4	EEG	uV	2500
FC2	EEG	uV	2500
AF8	EEG	uV	2500
FC1	EEG	uV	2500
FC3	EEG	uV	2500
FC5	EEG	uV	2500
FT7	EEG	uV	2500
F8	EEG	uV	2500
F6	EEG	uV	2500
F4	EEG	uV	2500
F2	EEG	uV	2500
Fz	EEG	uV	2500
F1	EEG	uV	2500
F3	EEG	uV	2500
F5	EEG	uV	2500
F7	EEG	uV	2500
AF4	EEG	uV	2500
AF7	EEG	uV	2500
AF3	EEG	uV	2500
Fp2	EEG	uV	2500
Fpz	EEG	uV	2500
Fp1	EEG	uV	2500
VEOG	EEG	uV	2500
HEOG	EEG	uV	2500
